label,content
scam,Cơ quan thuế: Bạn có biên bản vi phạm về chậm nộp thuế thu nhập.\nTruy cập http://thue-gov.pro để xem chi tiết và nộp phạt để tránh bị khởi tố.
ham,Bạn đã bắt đầu ở Skye chưa
scam,"Bạn có một người ngưỡng mộ bí mật, người đang tìm kiếm 2 người liên lạc với bạn, họ đã tiết lộ ai nghĩ rằng bạn rất đặc biệt gọi vào ngày 09058094599"
ham,Id phải kiểm tra nhưng chỉ còn như 1 bát đáng giá
scam,Hy vọng bạn thích nội dung mới của bạn.
scam,Ur đã trao một kỳ nghỉ thành phố và có thể giành được một cuộc mua sắm mùa hè £ 200 mỗi tuần.
spam,"[QC] IPAY (INDOCHINA): Nap the game, the dien thoai giam gia 3% tai ipay.com.vn. Thanh toan hoa don, mua ve may bay, dat phong khach san tich diem doi qua. Dang ky mien phi ngay!"
spam,🧴[L'Oréal Paris] SIÊU SALE MỸ PHẨM!\n💄 Son môi và kem dưỡng giảm đến 45%.\n🛍️ Mua ngay hôm nay!
scam,🔒[MB Bank] Tài khoản của bạn sẽ bị tạm ngưng chuyển tiền liên ngân hàng do chưa cập nhật xác thực khuôn mặt.
spam,🍣[Gogi House] TIỆC NƯỚNG HOT!\n🔥 Tặng món đặc biệt cho khách đặt bàn.\n📍 Đặt ngay hôm nay!
ham,Bao nhiêu r Ì_ sẵn sàng trả?
ham,"Subject: Re: [Bản draft] Kịch bản quay Tiktok Q3\n\nDạ em chào anh,\n\nEm đã note lại các feedback của sếp bên mình. Em sẽ sửa lại đoạn hook đầu tiên cho catchy hơn và gửi lại anh bản final vào sáng mai nhé.\n\nTrân trọng,\nMinh"
ham,Tôi sẽ nhắn tin ngay bây giờ!
ham,"Tyler (nhận được thứ 8) phải rời đi không lâu sau 9, bạn có thể đến đây trong một giờ không?"
spam,[BestPrice] TOUR HÈ GIÁ TỐT!\nGiảm ngay 15% cho khách đặt sớm.\nLiên hệ để giữ chỗ ngay hôm nay!
spam,"Kính gửi Quý khách hàng, 👟\n\n[Nike Vietnam Summer Sale] BIG SALE THỂ THAO! ⚡\nGiảm đến 60% giày chạy bộ, quần áo thể thao và phụ kiện Nike. Sẵn sàng cho mùa hè năng động!\n\nMua ngay tại Nike Store!"
spam,"[QC] MAISON DE BEAUTE: Tiem filler moi Juvederm Volbella chinh hang chi 4,5 trieu/ong (goc 7 trieu). Bac si thao thuat co chung chi ABAM. Kham tu van mien phi. Goi: 028 xxxx xxxx."
spam,🍹[Chuk Chuk] ƯU ĐÃI ĐỒ UỐNG MÙA HÈ!\n🧋 Mua 1 tặng 1 trong khung giờ vàng.\n📍 Ghé quán ngay hôm nay!
scam,Sáu cơ hội để giành được tiền mặt!
ham,Chỉ cần thư giãn trong 6 giờ nữa.
spam,[GrabMart] ĐI CHỢ ONLINE NHANH CHÓNG!\nVoucher 80K cho người dùng mới.\nMở app Grab để nhận ưu đãi!
scam,"Subject: YÊU CẦU BẢO MẬT: Mật khẩu email của bạn sẽ hết hạn trong 24h\n\nKính gửi người dùng,\n\nHệ thống phát hiện mật khẩu của bạn đã quá hạn 90 ngày. Vui lòng cập nhật mật khẩu mới để không bị gián đoạn công việc.\n\nBấm vào đây để đổi mật khẩu: https://webmail-update-security.com/auth/login\n\nIT Support Team."
spam,🚴[Fit24] THÁNG VÀNG TẬP LUYỆN!\n🔥 Tặng 1 tháng tập miễn phí cho hội viên mới.\n🏋️ Đăng ký ngay hôm nay!
scam,Bạn thân mến đã được mời đến xchat.
ham,Nếu bạn có tin tôi.
scam,"Tuyển dụng part-time: Lương 28 triệu/tháng, làm online. Gửi stk nhận lương thử."
scam,"Bạn đã giành được TKTs vào trận chung kết Euro2004 Cup hoặc £ 800 Tiền mặt, để thu thập 09058099801 B4190604, POBOX 7876150PPM"
spam,🐶[Pet Mart] ƯU ĐÃI CHO THÚ CƯNG!\n🎁 Thức ăn và phụ kiện giảm đến 35%.\n📦 Đặt hàng ngay!
scam,Cảnh báo lừa đảo: Số tài khoản của bạn bị sử dụng trái phép. Click báo cáo.
scam,🔒[Internet Banking] Hệ thống phát hiện truy cập trái phép từ thiết bị Windows lạ.
ham,Chúng ta vẫn ở đêm nay?
scam,Xin chúc mừng!
scam,🔒[MB Bank] Tài khoản của bạn sẽ bị vô hiệu hóa do chưa hoàn tất xác thực khuôn mặt theo quy định mới.
ham,Haha ... hy vọng Ì_ có thể nghe thấy âm thanh biên lai ... GD may mắn!
ham,Shuhui nói thay đổi 2 tàu hơi nước Suntec?
spam,"[Vietravel] TOUR CHÂU ÂU TRỌN GÓI - GIẢM NGAY 5 TRIỆU ĐỒNG\nKhám phá Pháp - Ý - Thụy Sĩ với mức giá chưa từng có. Vietravel cam kết dịch vụ chất lượng, hướng dẫn viên tận tâm. Đăng ký theo nhóm để nhận thêm quà tặng giá trị."
ham,Lemme biết khi nào bạn ở đây
scam,🏛️[Tổng cục Thuế] Bạn có khoản hoàn thuế chưa nhận từ năm 2024.
scam,📱[MobiFone] Thuê bao của bạn sắp bị khóa do chưa đồng bộ thông tin cá nhân.
spam,Prudential: Bảo hiểm sức khỏe giảm 50% phí năm đầu!
spam,[Highlands Coffee] ☕ HAPPY HOUR! Mua 1 tặng 1 tất cả đồ uống từ 14h-17h thứ 2 đến thứ 6. Áp dụng tại tất cả chi nhánh Highlands toàn quốc. Đến ngay hoặc đặt qua App!
spam,🚆[Đường Sắt Việt Nam] KHUYẾN MÃI VÉ TÀU!\n✨ Giảm đến 30% cho vé đặt sớm.\n🎫 Mua vé ngay!
ham,Xin vui lòng nói chuyện với khách hàng mà Machan.
ham,"Carlos mất một lúc (một lần nữa), chúng tôi rời đi trong một phút"
ham,Bạn có khỏe không.
ham,"Hôm nay là \ bài hát dành riêng cho ngày .. \ ""Bạn sẽ dành bài hát nào cho tôi?"
spam,Huggies: Sale lớn tã cho bé!
scam,Tuyển người mẫu ảnh nhí cho các nhãn hàng thời trang.\nCát-xê 2 triệu/buổi. Đăng ký tại [Link]. Yêu cầu cung cấp STK để nhận lương ứng trước.
scam,Cần tuyển nhân sự hỗ trợ nhập dữ liệu đơn hàng.\nThanh toán ngay sau khi hoàn thành công việc.
spam,"Kính gửi Quý khách hàng, 📚\n\n[FAHASA Mid-year Book Fair] SALE SÁCH LỚN NHẤT! 📖\nGiảm đến 65% sách bestseller, tiểu thuyết và sách kinh tế.\n\nMua sách hay ngay hôm nay!"
spam,[California Fitness] TẶNG 14 NGÀY TẬP LUYỆN MIỄN PHÍ\nKhởi động mùa hè năng động cùng hệ thống phòng tập đẳng cấp 5 sao. Đăng ký ngay để nhận tư vấn dinh dưỡng và 2 buổi tập cùng PT cá nhân hoàn toàn miễn phí.
scam,Công ty tuyển dụng: Nhân viên content TikTok lương 35 triệu. Gửi thông tin.
ham,Tôi đã gửi ì_ phần của tôi ..
ham,"Vì vậy, hãy kiểm tra lỗi của bạn và nếu bạn gặp khó khăn, hãy điều chỉnh."
spam,[TopCV] NHẬN GỢI Ý VIỆC LÀM PHÙ HỢP VỚI PROFILE CỦA BẠN\nBạn có 5 vị trí mới đang tuyển dụng phù hợp với kỹ năng Python và AWS. Cập nhật CV ngay để tăng 80% cơ hội được nhà tuyển dụng kết nối trực tiếp. Xem ngay tại TopCV.
scam,Bạn có 1 tin nhắn mới.
spam,📱[Xiaomi Official] DEAL SMART HOME HOT!\n✨ Robot hút bụi và camera giảm sâu.\n📦 Mua ngay hôm nay!
ham,Yup tôi đang xây dựng các khía cạnh an toàn và một số vấn đề khác ..
ham,Wot u up 2 u weirdo?
ham,vâng em yêu!
spam,PNJ: Giảm 50% trang sức vàng & kim cương. Tặng hộp quà sang trọng. Xem ngay!
ham,Sun ah ... thk mayb có thể nếu mặt trời có bất cứ thứ gì ... thk phải đặt bài học ...
scam,Bạn có muốn một video mới Phone750 bất cứ lúc nào bất kỳ mạng nào
ham,Tôi về nhà.
ham,Tôi đã ở Bugis Juz bây giờ wat ... nhưng bây giờ tôi đang đi bộ về nhà oredi ... ì ì quá muộn sau đó trả lời ... Tôi đã thấy một dat hàng đầu tôi thích nhưng din mua ... bây giờ r Ì_?
ham,"Bạn không thể thử phát minh mới để bay..tôi không đùa.,"
ham,"Xin lỗi, tôi sẽ gọi sau"
spam,Herbalife: Giảm 55% shake dinh dưỡng. Đặt ngay!
ham,Chắc chắn!
scam,Goldviking (29/m) đang mời bạn làm bạn của anh ấy.
ham,Bạn sống ở số nào?
scam,"Là một thuê bao SIM, bạn được chọn để nhận tiền thưởng!"
ham,Dòng tốt nhất nói trong tình yêu:.
scam,Trả lời để giành được 100 bảng hàng tuần!
ham,Da sinh của tôi trong chứng chỉ là vào tháng Tư nhưng ngày thực sự là ngày hôm nay.
spam,[Routine]MUA2GIẢMTHÊM10%!\nƯuđãiápdụngtoànhệthống.\nKhámphángay!
scam,"Khi một thuê bao đã đăng ký, năm, rút 4 £ £ 100 phiếu quà tặng sẽ được nhập khi nhận được một ANS chính xác."
scam,Bạn vừa được thêm vào danh sách khách hàng ưu tiên.
spam,MAC Cosmetics: Giảm 50% son & makeup. Tặng quà cho đơn hôm nay!
spam,🎮[Epic Games] FREE GAME TUẦN NÀY!\n🔥 Nhận game miễn phí và nhiều ưu đãi hấp dẫn.\n🕹️ Tải ngay hôm nay!
spam,"Kính gửi Anh/Chị, 💳\n\n[ACB Bank Cashback Card] THẺ TÍN DỤNG HOÀN TIỀN CAO! 💰\nHoàn tiền đến 10% cho mọi giao dịch ăn uống & mua sắm, miễn phí thường niên năm đầu.\n\nĐăng ký ngay: [Link ACB]"
spam,Mỹ phẩm Ohui: Giảm 60% bộ chăm sóc da Hàn Quốc!
spam,"[QC] NHA KHOA PARIS: Trong rang su cao cap tu 3,9 trieu/rang. Bao hanh 5 nam. Ky thuat vien nguoi Phap huong dan truc tiep. Dat lich kham mien phi: 1900 2045."
scam,Hệ thống ghi nhận thiết bị mới đăng nhập vào tài khoản.
spam,[Email Traveloka] SALE VÉ MÁY BAY!\nƯu đãi độc quyền cho các chuyến bay nội địa.\nĐặt vé ngay để tiết kiệm!
scam,Bạn đang được liên hệ bởi dịch vụ hẹn hò của chúng tôi bởi một người mà bạn biết!
scam,Bộ Công an gửi thông báo: Quý công dân có tên trong danh sách đối tượng cần xác minh thông tin cư trú. Vui lòng click vào liên kết để khai báo trực tuyến trước ngày mai.
spam,"[The Coffee House] TẶNG TRÀ ĐÀO CAM SẢ KHI TẢI APP\nChào bạn mới! Tải ngay ứng dụng The Coffee House để nhận mã ưu đãi mua 1 tặng 1 cho món thức uống yêu thích nhất. Tích điểm đổi quà, nhận thêm nhiều ưu đãi độc quyền."
ham,"Subject: Reminder: All-hands meeting thứ 6 tuần này - 4pm\n\nHi all,\nNhắc lịch all-hands tháng 5 vào thứ 6 này, 4pm, phòng họp lớn tầng 3. Agenda đã share trên Notion. Anh Nam sẽ present roadmap Q3. Ae chuẩn bị câu hỏi trước nha.\n\nSee you there!"
ham,Tôi sẽ hỏi một điều nếu bạn không nhầm lẫn tôi.
spam,Aspen Dental: Giảm 50% implant & tẩy trắng răng!
ham,"Nếu chúng tôi đánh nó đi, bạn có thể chuyển đến với tôi :)"
spam,"[QC] VIETNAM MOTOR SHOW 2025: Trien lam o to lon nhat nam tai SECC 10-14/9/2025. Hon 20 thuong hieu, hang tram mau xe moi ra mat. Mua ve som giam 30%. Dat ve: vietnammotorshow.com.vn."
spam,[Traveloka]SĂNPHÒNGCUỐITUẦN!\nKháchsạn4saogiáưuđãiđặcbiệt.\nĐặtngayđểtiếtkiệm!
scam,Ngân hàng Sacombank: Tài khoản sắp hết hạn xác thực. Cập nhật ngay.
ham,"Này, chúng ta có thể đi sức mạnh jazz yoga hip hop kb và yogasana"
ham,Vượt qua tất cả các liên hệ của bạn n xem wat bạn nhận được!
spam,"[QC] FPT SHOP: ⚡ MacBook Air M3 giam 3 trieu con 24,9 trieu. Tang Microsoft 365 ban quyen 1 nam (tri gia 1,49 trieu). Tra gop 0% 12 thang. Mua ngay tai fptshop.com.vn!"
ham,"Này, có chuyện gì vậy Charles xin lỗi về câu trả lời muộn."
scam,"[MB Bank] Cảnh báo: Tài khoản đang đăng nhập trên thiết bị không xác định.\nNếu không phải bạn, hãy nhấn vào https://mbbank-secure.xyz để khóa tài khoản."
ham,Nhưng tôi đã nhớ rằng tôi phải tắm cho con chó của tôi hôm nay ..
spam,"Kính gửi Anh/Chị, 🏍️\n\n[Piaggio Sale Event] ƯU ĐÃI XE MÁY CAO CẤP! 🛵\nGiảm đến 45% dòng Vespa và Medley + quà tặng hấp dẫn. Trả góp 0% lãi.\n\nXem xe ngay!"
spam,[Booking.com] KHUYẾN MÃI KHÁCH SẠN!\nGiảm giá phòng lên đến 55%.\nĐặt phòng ngay để tiết kiệm!
scam,Miễn phí cho tuần đầu tiên!
ham,Ghim của bạn là gì?
spam,ACB Bank: Thẻ tín dụng hoàn tiền 10% ăn uống. Miễn phí năm đầu!
ham,Smith Waste Da.i Wanna Gayle.
spam,[QC] GIAO HANG NHANH: Gui hang toan quoc chi tu 15K. Lay hang tai nha mien phi. Theo doi don hang real-time 24/7. Dang ky tai khoan shop mien phi tai ghn.vn - giao sieu toc!
scam,Tài khoản 2004 của bạn cho 07xxxxxxxxx cho thấy 786 điểm chưa được nhận.
ham,Bạn có thể làm ơn gửi cho tôi một thư trên tất cả những gì bạn biết về người thân đến để giao hàng tại đây không?
ham,"Subject: Re: Đặt cơm trưa văn phòng hôm nay\n\nChị đặt giúp em suất cơm sườn nha, 35k. Em chuyển khoản sau.\n\nThanks."
ham,Erutupalam Thandiyachu
scam,"Eerie Nokia Tones 4U, Tiêu đề Tone Rply tới 8007 ví dụ: Tone Dracula đến 8007 tiêu đề: Ghost, Addamsfa, Munsters, Exorcist, Twilight www.getzed.co.uk POBox36504W45WQ 150P"
scam,Shopee chúc mừng: Quý khách được chọn tham gia chương trình 'Triệu phú Shopee' với giải thưởng tiền mặt 100 triệu. Cung cấp thông tin để xác nhận.
spam,"[QC] HONDA VN: HONDA WAVE RSX 2025 - mau moi cuc dep, tiet kiem nhien lieu 1,8L/100km. Gia tu 21,9 trieu. Tra gop chi 500K/thang. Den dai ly Honda gan nhat thu xe!"
spam,Pullman Danang: Giảm 55% phòng nghỉ + buffet sáng!
ham,Subject: Re: Khách phản hồi chậm\n\nEm đã call lại khách. Họ bảo mai sẽ rep chi tiết. Em update anh sau.
ham,"Này, tôi đã nhớ bạn tm đêm qua vì điện thoại của tôi đã buộc tội ... * mỉm cười * ... Tôi sẽ gặp một người bạn trong thời gian ngắn"
ham,"Tất cả chúng ta đang lo lắng ở đây, Derek và Taylor đã cho rằng điều tồi tệ nhất"
ham,Đào tạo một ngày đó :-)
spam,"Subject: Your GrabRewards tier is expiring soon!\n\nChào bạn,\n\nHạng Platinum của bạn sẽ hết hạn vào cuối tháng này. Thực hiện thêm 5 chuyến xe hoặc đơn hàng GrabFood để duy trì hạng và nhận nhiều ưu đãi độc quyền.\n\nMở app ngay: grab://open"
spam,"Kính gửi Quý khách hàng,\n\n[Shopee Home] SALE ĐỒ NHÀ!\nNội thất, bàn ghế, thảm giảm đến 60%. Freeship toàn quốc.\n\nMua sắm ngay!"
spam,Sephora: Sale mỹ phẩm cao cấp giảm đến 58%!
spam,🍰[Cheese Coffee] DEAL ĐỒ UỐNG MÁT LẠNH!\n☕ Mua 2 tặng 1 trong khung giờ vàng.\n📍 Ghé quán ngay hôm nay!
ham,Vâng có nhiều đồ ngọt
scam,"Cảm ơn bạn đã đăng ký với Ringtone UK, điện thoại di động của bạn sẽ được tính phí £ 5/tháng, vui lòng xác nhận bằng cách trả lời có hoặc không."
ham,"Tôi đoán bạn có thể là một cái cớ tốt như bất kỳ, lol."
scam,"Bạn có một người ngưỡng mộ bí mật, người đang tìm kiếm 2 người liên lạc với bạn, họ đã tiết lộ ai nghĩ rằng bạn rất đặc biệt gọi vào ngày 09058094565"
spam,[Email TikiNOW] GIAO NHANH 2H!\nDeal gia dụng và điện tử giá sốc.\nMua ngay để nhận freeship!
ham,Mathews hoặc Tait hoặc Edwards hoặc Anderson
spam,🎮[Nintendo eShop] GAME SALE CUỐI TUẦN!\n🔥 Hàng loạt game Nintendo Switch giảm sâu.\n🕹️ Mua ngay hôm nay!
scam,📊[Crypto Trading] Chuyên gia nội bộ cam kết lợi nhuận 7% mỗi ngày.
scam,Grab: Hoàn tiền đơn hàng 980k. Click nhận tiền về ví ngay.
scam,"Tuyển dụng remote: Hỗ trợ khách nước ngoài, 900 USD/tháng. Bắt đầu tuần này."
ham,Nếu bạn có nghĩa là trang web.
ham,"Được rồi, Tyler có một cuộc khủng hoảng nhỏ và phải về nhà sớm hơn anh nghĩ nên ở đây càng sớm càng tốt"
ham,Đó có phải là một cái gì đó bạn đã ăn?
spam,📚[Spiderum] ƯU ĐÃI KHÓA HỌC KỸ NĂNG!\n🎓 Giảm học phí cho nhiều khóa học online.\n📲 Tham gia ngay!
scam,"Kính gửi Anh/Chị ứng viên, Công ty outsourcing nước ngoài tuyển dụng vị trí Chat Support, lương 1.200 USD/tháng. Làm full remote."
spam,🚴[Decathlon] SALE ĐỒ THỂ THAO!\n🏃 Giảm đến 50% giày chạy bộ và phụ kiện.\n🛒 Mua ngay hôm nay!
scam,Khoản vay cho bất kỳ mục đích £ 500 - £ 75.000.
ham,Thân mến Chào buổi sáng bạn cảm thấy thân yêu như thế nào
scam,Chúng tôi đã cố gắng gọi cho bạn Re trả lời của bạn cho SMS của chúng tôi cho một video di động 750 phút văn bản không giới hạn + Máy quay phim miễn phí Trả lời cuộc gọi 08000930705 ngay bây giờ
spam,[GrabFood]ĂNĐÊMSIÊURẺ!\nNhậpmãNIGHT50giảm50K.\nĐặtmónngay!
ham,Chúng tôi có những ngày địa phương mới trong khu vực của bạn - rất nhiều người mới đã đăng ký trong khu vực của bạn.
spam,[Traveloka]COMBODULỊCHSIÊURẺ!\nĐặtvébay+k h á c h s ạ nnhậnưuđãiđến2triệu.\nĐặtngay!
spam,"[DOJI] 💎 KIM CƯƠNG THIÊN NHIÊN GIÁ TỐT! Nhẫn kim cương từ 5 triệu, bông tai từ 3,5 triệu. Chứng nhận GIA quốc tế. Trả góp 0% 12 tháng qua thẻ tín dụng. Xem bộ sưu tập tại doji.vn!"
spam,[Canifa] ĐỒ ĐẸP GIÁ TỐT!\nVoucher 50K cho đơn hàng đầu tiên.\nMua sắm ngay hôm nay!
scam,Bạn có một thông báo dịch vụ khách hàng quan trọng từ Premier.
ham,Nhưng thực sự khá hài hước lor wat ... sau đó bạn nên chạy khoảng cách ngắn hơn ...
ham,Bạn sẽ viết bài kiểm tra CCNA trong tuần này ??
scam,Ngân hàng Techcombank: Phát hiện giao dịch lạ 420 triệu. Click xác nhận hoặc hủy ngay.
spam,Elite Dental: Giảm 50% tẩy trắng răng & niềng răng. Tư vấn miễn phí hôm nay!
ham,Không. Trên đường về nhà.
spam,[Email Home Credit] ƯU ĐÃI TRẢ SAU!\nMua trước trả sau với nhiều ưu đãi hấp dẫn.\nKích hoạt ngay!
spam,🚘[Mercedes-Benz] ƯU ĐÃI XE SANG!\n✨ Tặng gói bảo dưỡng cho khách mua xe mới.\n📍 Đăng ký tư vấn ngay!
ham,Bạn đã có một ngày tốt lành?
spam,🛏️[JYSK] SALE NỘI THẤT CUỐI MÙA!\n✨ Sofa và bàn ghế giảm giá hấp dẫn.\n📦 Đặt hàng ngay!
spam,"[FPT Play] 📺 XEM PHIM THẢ GA! Đăng ký gói Premium 3 tháng chỉ 99K, tiết kiệm 60% so với giá thường. Hơn 50.000 nội dung phim, thể thao, giải trí. Dùng thử 7 ngày miễn phí!"
spam,"Subject: 💸 Nhận ngay 300K khi mở thẻ VIB\n\nChỉ cần để lại số điện thoại, nhân viên sẽ gọi lại trong 5 phút.\nĐăng ký: forms.gle/vib-card-2026"
scam,🏦[Agribank] Hệ thống phát hiện nhiều lần đăng nhập thất bại trên tài khoản của bạn trong đêm qua.
spam,"[Lazada Mall] SIÊU SALE ĐIỆN TỬ!\nGiảm sốc iPhone, laptop đến 40% + quà tặng. Flash Sale lúc 12h."
scam,Bạn đã được chọn để ở trong 1 trong số 250 khách sạn hàng đầu của Anh - không có gì!
spam,"[QC] MEDLATEC: Lay mau xet nghiem tai nha, ket qua trong 4 gio. Hon 1.000 chi so xet nghiem chuyen sau. Dat lich lay mau: 1900 56 56 56. Phuc vu ca ngay nghi."
scam,Lệnh phạt từ Sở GTVT: Phạt nguội 2.7 triệu. Thanh toán khẩn trong 24h.
ham,Chào buổi sáng thân yêu có một ngày tốt lành
ham,Làm thế nào tôi sẽ leo lên bạn bây giờ?
scam,Xin chào quý khách Ngân hàng thông báo tài khoản của bạn đang chờ xác minh bảo mật.\nVui lòng cập nhật thông tin cá nhân để tiếp tục sử dụng dịch vụ Internet Banking.\nTrân trọng.
ham,Tôi không thể chọn điện thoại ngay bây giờ.
scam,Cảnh báo từ Ngân hàng Nhà nước: Tài khoản của Quý khách bị khóa do liên quan đến lệnh phong tỏa của Tòa án. Liên hệ ngay để cung cấp giấy tờ chứng minh nguồn gốc.
scam,💸[VPBank] Khoản hoàn tiền 18.400.000đ của bạn đang chờ xác nhận tài khoản nhận.
ham,Tương lai không phải là những gì chúng tôi dự định cho ngày mai .....!
scam,Dịch vụ SMS.
ham,Không :-) Tôi có tin đồn rằng bạn sẽ mua căn hộ ở Chennai :-)
scam,* Miễn phí* Nhạc chuông đa âm văn bản Super đến 87131 để có được giai điệu poly miễn phí của bạn trong tuần ngay bây giờ!
spam,"Kính gửi Anh/Chị,\n\n[Vietravel Airlines] KHUYẾN MÃI MỚI!\nGiảm 35% vé bay + tour du lịch. Ưu đãi đặc biệt cho hội viên.\n\nĐặt ngay!"
ham,"Subject: Re: Review CV ứng viên\n\nAnh xem CV em đính kèm nhé. Anh thấy bạn này khá ổn cho vị trí Backend.\n\nCảm ơn anh,\nHương"
ham,Có vẻ như có thể có rất nhiều thời gian dành cho cậu bé thiết bị khiết tịnh đó ... * cười * ... hoặc đánh đập của bạn như một con chó tốt.
ham,Nhiều sự trở lại hạnh phúc nữa trong ngày.
spam,"Subject: MindX: Lớp lập trình Python AI cho người mới bắt đầu\n\nHello!\nBạn chưa biết code nhưng muốn học AI? MindX có lớp Python từ zero - hero, học online buổi tối, mentor hỗ trợ 24/7.\n\nHọc thử miễn phí buổi đầu: mindx.edu.vn/python-ai?utm_source=email_may26"
scam,"Subject: Cảnh báo: Phát hiện đăng nhập bất thường vào email của bạn\n\nHệ thống phát hiện đăng nhập từ IP không xác định (Vietnam, TP.HCM) lúc 02:14 AM. Nếu không phải bạn, tài khoản có thể đang bị xâm phạm.\n\n⚠️ Bảo mật ngay: mail-security-alert.vn/secure?u=392\n\nĐội ngũ bảo mật Email"
scam,🎁[TikTok Shop] Bạn được chọn nhận quà tri ân khách hàng trị giá 9 triệu đồng từ chương trình quay thưởng tháng này.
spam,🎮[Epic Games Store] GAME HOT GIẢM GIÁ!\n🕹️ Hàng loạt tựa game sale cực mạnh.\n📲 Tải ngay hôm nay!
scam,"Chúc mừng bạn đã được chọn vào nhóm VIP ""Đầu tư thông minh 4.0"". Lợi nhuận cam kết 20-30%/ngày. Vốn chỉ từ 500k. Rút tiền sau 30 phút. Nhắn tin cho Admin @chuyengia_crypto để nhận tài liệu hướng dẫn."
scam,Thông báo từ Lazada: Đơn hàng hoàn tiền 2.2 triệu VNĐ đang chờ. Vui lòng cập nhật số tài khoản để chuyển khoản ngay hôm nay.
spam,"Kính gửi Anh/Chị, 🏨\n\n[Meliá Hotels Summer Offer] SALE KHÁCH SẠN 5 SAO! 🌟\nGiảm đến 55% phòng nghỉ kèm buffet sáng và spa credit. Kỳ nghỉ sang trọng đang chờ bạn.\n\nĐặt phòng ngay!"
spam,"[Bosch] 🍳 BẾP TỪ CAO CẤP! Bếp từ đôi Bosch Serie 4 giảm 3 triệu còn 7,9 triệu. Công nghệ PerfectFry cảm biến nhiệt thông minh. Bảo hành 3 năm. Lắp đặt miễn phí. Mua tại chuỗi bếp Bosch toàn quốc!"
spam,⌚[Casio] ƯU ĐÃI ĐỒNG HỒ!\n✨ Tặng voucher cho khách mua online.\n📦 Đặt hàng ngay!
ham,"Ồ vâng, và có một thời gian tuyệt vời ở Newquay-Send cho tôi một tấm bưu thiếp!"
spam,"Kính gửi Quý khách, 🌱\n\n[Herbalife Nutrition] SALE SẢN PHẨM SỨC KHỎE! 🌿\nGiảm đến 50% shake giảm cân, vitamin và collagen. Tặng quà cho đơn từ 2 triệu.\n\nChăm sóc sức khỏe ngay!"
ham,"K, wat s tht sự cố?"
spam,"Kính gửi Anh/Chị,\n\n[Uniqlo Sale] BIG SALE HÈ 2026!\nÁo thun, quần shorts, váy giảm đến 60%. Số lượng giới hạn.\n\nMua sắm ngay: [Link Uniqlo]"
scam,Hiện công ty đang tuyển nhân viên nhập liệu online.\nKhông yêu cầu kinh nghiệm và có thể làm việc tại nhà.
ham,Tôi đang ở một bữa tiệc với Alex Nichols
ham,Tại sao tôi đến giữa bạn
scam,Bạn có yêu cầu xác minh giấy tờ đang chờ xử lý.
scam,Subject: Cảnh báo bảo mật Vietcombank\n\nTài khoản của anh/chị vừa có truy cập từ thiết bị mới. Vui lòng kiểm tra ngay: vcb-secure.vn/alert392
scam,Không được nghe từ U4 một thời gian.
ham,\ Tôi có thể vui lòng đến ngay bây giờ tôi đang ở trong thị trấn không. Không vấn đề gì nếu Urgoin Outl8r
spam,🎬[Lotte Cinema] XEM PHIM GIÁ HỜI!\n🍿 Tặng combo bắp nước khi đặt vé online.\n🎟️ Đặt vé ngay!
scam,🚚[Ahamove] Đơn giao hàng của bạn đang chờ xác minh người nhận.
scam,Tin tuyệt vời!
ham,"Sau đó, mẹ ăn năn làm thế nào?"
ham,Thử nghiệm lớn nhất về lòng can đảm trên trái đất là chịu thất bại mà không mất lòng .... gn tc
ham,Số phòng của bạn một lần nữa?
scam,"Subject: Thông báo nộp thuế TNCN năm 2025\n\nKính gửi Anh/Chị,\nQuý khách có khoản thuế thu nhập cá nhân cần hoàn tất. Link nộp: thuevietnam.vn/settle392"
ham,"Thưa ông, chào buổi sáng."
scam,Dang ky 99K-Tai App nhan 108 K-Khuyen mai nap dau 100% Lixi moi ngay 88.888K VIP 108.888K https://bit.ly/4puB7LP
ham,Không nghĩ rằng nó ... | |
spam,"Kính gửi Quý khách, 🌸\n\n[Shopee Beauty x Skincare] FESTIVAL LÀN DA! ✨\nGiảm đến 72% mỹ phẩm Hàn Quốc, Nhật Bản. Tặng quà mini cho mọi đơn hàng.\n\nChăm sóc da ngay hôm nay!"
scam,Thu thập cuối tuần Valentine của bạn đến chuyến bay & khách sạn Paris Inc + £ 200 được đảm bảo!
spam,Subject: Oops... Bạn quên gì nè? 🛒\n\nGiỏ hàng của bạn đang chờ. Hoàn tất thanh toán ngay để không bỏ lỡ mức giá ưu đãi.\n\nThanh toán: link.vn/cart
ham,Hy vọng đầu của bạn không đau 2!
ham,Tin nhắn cho tôi khi Rajini đến.
spam,O2 Spa: Giảm 65% gói massage body & facial. Đặt lịch thư giãn hôm nay!
ham,"\ Chào Darlin, bạn đã gọi điện cho tôi?"
ham,Những người đó là ai?
scam,📦[Best Inc] Kiện hàng của bạn chưa thể giao do chưa thanh toán phí xác nhận.
spam,🎓[Uni English Center] ƯU ĐÃI KHÓA IELTS!\n📚 Giảm đến 30% học phí cho học viên mới.\n📲 Đăng ký ngay!
scam,"🧑‍💻[Tuyển dụng TikTok] Chỉ cần online 2 giờ/ngày, thanh toán lương ngay sau ca làm."
scam,Bạn có một người ngưỡng mộ bí mật.
ham,"Thật tuyệt, chúng ta có thể tồn tại một chút."
ham,Hãy cho tôi biết ai là người này :-)
